count,pi
112,3.2056737588652484
113,3.1888111888111887
114,3.1944444444444446
115,3.2
116,3.140939597315436
117,3.1258278145695364
118,3.1315789473684212
119,3.1372549019607843
120,3.142857142857143
121,3.1483870967741936
122,3.1538461538461537
123,3.159235668789809
124,3.1446540880503147
125,3.15
126,3.1552795031055902
127,3.1411042944785277
128,3.1463414634146343
129,3.1515151515151514
130,3.1566265060240966
131,3.161676646706587
132,3.1666666666666665
133,3.171597633136095
134,3.176470588235294
135,3.181286549707602
136,3.186046511627907
137,3.1907514450867054
138,3.1954022988505746
139,3.1818181818181817
140,3.168539325842697
141,3.1731843575418996
142,3.1777777777777776
143,3.18232044198895
144,3.1868131868131866
145,3.191256830601093
146,3.1956521739130435
147,3.182795698924731
148,3.1702127659574466
149,3.1746031746031744
150,3.1789473684210527
151,3.183246073298429
152,3.1875
153,3.158974358974359
154,3.1472081218274113
155,3.1515151515151514
156,3.1557788944723617
157,3.16
158,3.1485148514851486
159,3.1527093596059115
160,3.156862745098039
161,3.1609756097560977
162,3.1650485436893203
163,3.1538461538461537
164,3.1578947368421053
165,3.1320754716981134
166,3.136150234741784
167,3.1401869158878504
168,3.144186046511628
169,3.1481481481481484
170,3.152073732718894
171,3.1559633027522938
172,3.1598173515981736
173,3.1636363636363636
174,3.167420814479638
175,3.171171171171171
176,3.1607142857142856
177,3.150442477876106
178,3.1403508771929824
179,3.1441048034934496
180,3.1478260869565218
181,3.1515151515151514
182,3.1551724137931036
183,3.1587982832618025
184,3.1623931623931623
185,3.1659574468085108
186,3.1561181434599157
187,3.1464435146443517
188,3.15
189,3.1404958677685952
190,3.1440329218106995
191,3.1475409836065573
192,3.138211382113821
193,3.1417004048582995
194,3.1325301204819276
195,3.1235059760956174
196,3.126984126984127
197,3.130434782608696
198,3.1338582677165356
199,3.125
200,3.1284046692607004
201,3.131782945736434
202,3.135135135135135
203,3.1264367816091956
204,3.1297709923664123
205,3.1330798479087454
206,3.1363636363636362
207,3.139622641509434
208,3.142857142857143
209,3.146067415730337
