omega	RE_E	IM_E	RE_P	IM_P	Alpha	T2
-75.26132404181183	0.0024799624846024923	4.95554238657469e-05	0.8427462627551195	1.1571898343430824	459.64189244991906	156.22909587573173
-74.56445993031357	0.002898242403658316	5.613972306507666e-05	0.9805063207023975	1.2713034755826804	431.931127326665	156.22909837894582
-73.86759581881532	0.0033792965237410193	6.125171376647115e-05	1.1521672444731978	1.3930259123546491	405.91038717126025	156.22910077929882
-73.17073170731706	0.003931378931079972	6.473924275751475e-05	1.3617397484912719	1.5351606149178818	384.6808835456004	156.22910308147772
-72.4738675958188	0.00456376308014296	6.649303738908846e-05	1.6036417075254104	1.705528737759699	368.51321706796483	156.22910528992904
-71.77700348432055	0.0052868573047783075	6.645011121282412e-05	1.8725557357814908	1.9004558934107765	354.96010356912205	156.22910740887315
-71.08013937282229	0.006112329296080297	6.459594000883821e-05	2.1744096081771813	2.110334762622701	341.4610206943449	156.22910944231745
-70.38327526132403	0.007053239618274306	6.0965335014427864e-05	2.5270319269111647	2.3323390658858814	327.5549883948375	156.2291113940685
-69.68641114982577	0.008124184274962228	5.564197498701159e-05	2.949100421997362	2.5774334524763147	314.7534857366786	156.22911326774366
-68.98954703832752	0.00934144627460309	4.875659506521056e-05	3.4483161232835426	2.8638661615975125	304.6413228809434	156.229115066782
-68.29268292682926	0.010723156075605752	4.048386721191677e-05	4.0214819277802105	3.2030630766217523	297.2851499929614	156.2291167944535
-67.595818815331	0.012289460717109235	3.1038043371849064e-05	4.667611438874582	3.5924724591121744	291.3603180509537	156.22911845386906
-66.89895470383274	0.01406270136061403	2.0667467317435932e-05	5.401416432762027	4.023857974277968	285.5718059972403	156.2291200479892
-66.20209059233449	0.016067598879219304	9.648093498144544e-06	6.252928991699597	4.499885797519915	279.82584832730385	156.2291215796316
-65.50522648083623	0.018331447034326726	-1.7238197980058339e-06	7.252465171412596	5.042318719695606	275.10106867144356	156.22912305147975
-64.80836236933797	0.020884312673344164	-1.313965098432905e-05	8.415819066794532	5.682493195070205	272.3472857461493	156.2291244660889
-64.11149825783971	0.023759242265172204	-2.4286777685961165e-05	9.745978048008146	6.442963277704472	271.59615760079123	156.22912582589368
-63.414634146341456	0.026992473962208312	-3.4857135373110605e-05	11.251644760024684	7.329996019512624	272.0948721420829	156.22912713321426
-62.7177700348432	0.030623654237462588	-4.4555738203385535e-05	12.9645047598195	8.347526412756809	273.1996410729824	156.22912839026213
-62.02090592334494	0.03469605799250685	-5.3108926468786414e-05	14.935907195503093	9.521465751003115	275.0832858859508	156.22912959914555
-61.32404181184668	0.039256810866040395	-6.0272109852058346e-05	17.213084628877873	10.910648738138732	278.60262866881357	156.2291307618755
-60.627177700348426	0.044357112293581184	-6.583678696015143e-05	19.817059252974733	12.592236734822093	284.5456259976548	156.2291318803704
-59.93031358885017	0.05005245767656176	-6.96366390923898e-05	22.745138341311446	14.636309825157447	293.05106709746053	156.22913295645986
-59.23344947735191	0.0564028578143085	-7.155251952447454e-05	25.995476173302773	17.09958675922191	303.75299488174505	156.229133991891
-58.536585365853654	0.06347305353614932	-7.151618815320634e-05	29.58223579757292	20.051902316262787	316.4367635781742	156.22913498833103
-57.839721254355396	0.07133272324459183	-6.951267446077154e-05	33.50903730346399	23.611155241303184	331.4577906196218	156.2291359473718
-57.14285714285714	0.0800566808461733	-6.558118851298133e-05	37.70497498972047	27.93835719963952	349.3677912237348	156.22913687053398
-56.44599303135888	0.08972506130667245	-5.981453918395818e-05	41.97422350784237	33.164250917174925	369.93251923222573	156.22913775926983
-55.749128919860624	0.10042349082489926	-5.2357059859875256e-05	46.02263756336019	39.27620263123552	391.3445560528769	156.2291386149671
-55.05226480836237	0.11224323837791399	-4.340108347912587e-05	49.580750713892975	46.04432933122602	410.3899218739059	156.22913943895216
-54.35540069686411	0.1252813451543039	-3.3182049670305095e-05	52.56769582963317	53.06128659010482	423.6481169247585	156.2291402324929
-53.65853658536585	0.1396407281658325	-2.1972365861201743e-05	55.192888032180896	59.9025041390613	429.03806076489263	156.2291409968017
-52.961672473867594	0.1554302541164292	-1.0074180407085989e-05	57.91620922634687	66.32737259553815	426.75813998576666	156.22914173303732
-52.26480836236934	0.1727647794167524	2.1887420382756454e-06	61.273921053536654	72.40274655339341	419.0783012150765	156.22914244230927
-51.56794425087108	0.19176515206838646	1.4479825440441415e-05	65.66654278122242	78.47259421351795	409.18610374627525	156.22914312567804
-50.87108013937282	0.21255817101040747	2.6458928661266382e-05	71.2305735119929	84.9946731585508	399.8237506497116	156.22914378415942
-50.174216027874564	0.23527649842894613	3.779177915121405e-05	77.85868063196698	92.34724179353178	392.4520035554124	156.22914441872496
-49.47735191637631	0.2600585204842618	4.815933207109719e-05	85.33551551068719	100.71786125705144	387.22843854148755	156.22914503030515
-48.78048780487805	0.2870481519159563	5.726679206268726e-05	93.48972004416382	110.12023790938163	383.56485269045555	156.22914561979113
-48.08362369337979	0.3163945800519956	6.485204153160565e-05	102.27083910497939	120.49716561243515	380.77832391692783	156.22914618803574
-47.386759581881535	0.3482519438770822	7.069323317995456e-05	111.72776515769243	131.82248432813088	378.46105697693383	156.2291467358566
-46.68989547038328	0.3827789440162528	7.46153254709276e-05	121.93571855341239	144.1381297149793	376.4949914048275	156.22914726403712
-45.99303135888502	0.42013837976566404	7.649536708150157e-05	132.94041939870567	157.52504824966041	374.8784826794601	156.22914777332747
-45.29616724738676	0.46049660965841904	7.626636960386885e-05	144.7546521753373	172.05497540675685	373.5771190353365	156.2291482644472
-44.599303135888505	0.5040229324925646	7.391964587495632e-05	157.39090287895056	187.77029476525664	372.497352373092	156.22914873808588
-43.90243902439022	0.5508888862734913	6.950553334015736e-05	170.8885516578076	204.7017955400135	371.54539946191693	156.2291491949049
-43.20557491289196	0.601267463134937	6.313246663254632e-05	185.30991758008867	222.8978661485452	370.6809697935575	156.22914963553808
-42.508710801393704	0.6553322390017695	5.496440986236871e-05	200.7141315758224	242.43388612316284	369.91473267630346	156.22915006059407
-41.81184668989545	0.7132564175418978	4.5216705597455235e-05	217.1372711883243	263.39512463185116	369.26601953341503	156.22915047065598
-41.11498257839719	0.7752117888213848	3.4150442944845824e-05	234.59676010785327	285.85285336397595	368.7282910664479	156.22915086628393
-40.41811846689893	0.8413676040211782	2.206549012478363e-05	253.1122746188369	309.8570983726323	368.27001493913616	156.22915124801517
-39.721254355400674	0.9118893685896033	9.292376229648285e-06	272.7206050919173	335.450438472005	367.86003971750733	156.22915161636539
-39.02439024390242	0.9869375572843216	-3.816758648520828e-06	293.4705067030104	362.68649959748643	367.4879244854231	156.2291519718299
-38.32752613240416	1.0666662556905897	-1.6897897161811694e-05	315.40446521596385	391.63416563529154	367.1618559387874	156.2291523148837
-37.6306620209059	1.1512217339788868	-2.958529273162357e-05	338.54617735158934	422.3643965035183	366.89117662529475	156.22915264598328
-36.933797909407645	1.2407409598708752	-4.1521747923062626e-05	362.9050526342307	454.9337036704967	366.67270816044754	156.22915296556718
-36.23693379790939	1.3353500590044018	-5.23687328606606e-05	388.4913957254609	489.3801868715749	366.49223053983667	156.22915327405622
-35.54006968641113	1.4351627321100004	-6.181605521502716e-05	415.32611950561613	525.7343145860115	366.3362983056065	156.22915357185525
-34.84320557491287	1.5402786396164714	-6.959080345640254e-05	443.43560475535014	564.0320496233344	366.20132791368445	156.22915385935283
-34.146341463414615	1.6507817654737504	-7.54653032468366e-05	472.83762720371726	604.3166764804158	366.0921774012289	156.22915413692255
-33.44947735191636	1.7667387730989972	-7.92638527108719e-05	503.53253113055894	646.6278471037472	366.0136101521189	156.2291544049233
-32.7526132404181	1.8881973673976078	-8.086803512691594e-05	535.5075841001997	690.9890004074554	365.9638266000891	156.22915466370034
-32.05574912891984	2.0151846777653843	-8.02204464995083e-05	568.7489255991704	737.405071990832	365.93554908828736	156.2291549135855
-31.358885017421585	2.147705677822295	-7.73267194255957e-05	603.2484766031288	785.8714474366056	365.92219040752303	156.22915515489765
-30.662020905923328	2.2857416583433046	-7.22557724091115e-05	638.9990287766947	836.3840004076412	365.9224550817452	156.22915538794385
-29.96515679442507	2.429248770419492	-6.513826406832637e-05	675.9828458184875	888.9396919117573	365.93939163791623	156.22915561301886
-29.268292682926813	2.578156656286217	-5.616328289273409e-05	714.1651785146192	943.5272213939681	365.9757355003323	156.2291558304067
