t	RE_E	IM_E	RE_P	IM_P	Alpha
252	1.1638617750845141e-06	-0.122364860714274	111.63823675796236	-6.761210192941282	912.3384915211212
253	2.5080207179489476e-06	-0.1156859318496724	106.03865002139702	-4.537019560589935	916.6071441490215
254	3.8323769717247675e-06	-0.10887279737255569	100.30650318312873	-2.4690919453313005	921.3175243612679
255	5.126011372746929e-06	-0.10193284316944455	94.6016850628621	-0.4744391007103226	928.0783114007195
256	6.3782521907718876e-06	-0.09487370066531714	88.91848292520943	1.6185994965635255	937.2311896383285
257	7.578764066574507e-06	-0.08770323293193574	83.10184112780534	3.870293105833353	947.5383309784718
258	8.717634195775356e-06	-0.08042952016954526	77.03374994838771	6.15969220491082	957.7878435769276
259	9.785455033287184e-06	-0.07306084459917407	70.77457325977048	8.32244148633012	968.7225359961182
260	1.0773402818799201e-05	-0.06560567480479726	64.49901159723164	10.335801471533033	983.1574378012806
261	1.1673311260504726e-05	-0.05807264956654343	58.30300267769772	12.339285370368021	1004.0093073753308
262	1.2477739753257787e-05	-0.050470561227875035	52.1036801997819	14.470057146110376	1032.4286703296543
263	1.3180035555361761e-05	-0.04280833864131688	45.74489499088768	16.703653461550616	1068.7177990709097
264	1.377438939729142e-05	-0.0350950297387574	39.184750253930694	18.881482519190904	1116.7437460421063
265	1.425588405136939e-05	-0.027339783773679602	32.550090804577316	20.890817047330405	1190.9741275431102
266	1.4620535452030189e-05	-0.019551833283816586	25.997901353472187	22.789734599496004	1330.5621121541465
267	1.4865326017505883e-05	-0.011740475823707288	19.54459050026588	24.735442220477996	1667.383711637724
268	1.4988229891727246e-05	-0.003915055517448291	13.058254162953341	26.800728900714926	3361.5523390285334
269	1.4988229891727246e-05	0.003915055517448291	6.420231072997976	28.88951755081552	-1611.6091293656355
270	1.4865326017505883e-05	0.011740475823707288	-0.33082912610407755	30.846301730017135	31.505102995672377
271	1.4620535452030189e-05	0.019551833283816586	-7.036406641808085	32.6317754783073	361.13258994883137
272	1.425588405136939e-05	0.027339783773679602	-13.59167665369566	34.36340799132344	497.79439750782166
273	1.3774389397286841e-05	0.03509502973875709	-20.055277823327593	36.17670036764849	571.8608536185224
274	1.3180035555361761e-05	0.04280833864131688	-26.57106051650504	38.0679881793654	620.9719740168423
275	1.2477739753257787e-05	0.050470561227875035	-33.19381952944839	39.898340897072465	657.8821531254191
276	1.1673311260504726e-05	0.05807264956654343	-39.81917535199666	41.55178138249569	685.822438878619
277	1.0773402818799201e-05	0.06560567480479726	-46.296100084332274	43.065148199898	705.7799633198924
278	9.785455033287184e-06	0.07306084459917407	-52.59114654800469	44.58188291757052	719.9084133030372
279	8.717634195775356e-06	0.08042952016954526	-58.81632878047671	46.184955785404405	731.3401084954384
280	7.578764066561531e-06	0.08770323293193548	-65.09078394285545	47.80122485091366	742.2179543796351
281	6.3782521907718876e-06	0.09487370066531714	-71.39637209291422	49.28534247841653	752.5761582783115
282	5.126011372746929e-06	0.10193284316944455	-77.59205635637075	50.58499537478231	761.2325681491446
283	3.8323769717247675e-06	0.10887279737255569	-83.56848610267411	51.797833438439525	767.5958671551372
284	2.5080207179489476e-06	0.1156859318496724	-89.36450440082625	53.05661552432066	772.4850651617057
